Male ID,NAcc (cc)
M2994,186.6962099
M2628,348.2867108
M2632,406.430352
M2635,300.2429666
M2637,537.8878522
M2642,820.6927461
M2643,893.8119735
M2690,704.5956653
M2699,165.1128743
M2784,557.5737416
M2820,435.6297887
M2869,198.0651181
M2871,327.069316
M2877,466.9899326
M2879,455.7513741
M2880,771.6744653
M4005,
M4015,662.0770493
M4024,526.076621
M4026,625.2277022
M4043,269.707085
M4086,731.0241287
M4087,534.5112371
M4092,615.7987436
M4097,647.3750598
M4098,339.6452669
M4103,279.0934186
M4114,445.1226321
M4118,595.269057
M4121,787.2276401
M4123,968.706911
M4124,735.8248534
M4136,540.9850175
M4148,587.5974609
M4155,137.7161206
M4168,602.5354578
M4175,1100.088978
M4178,463.9166148
M4179,270.2487244
M4304,654.5579256
M4386,652.2923946