,151b,152b,143b,149b,b1b,b2b,b3b,139b,147b,148b,150b,153b,c3b,c1b,t1bb,t2bb
151b,NA,0.385318756,0.280441284,0.396736145,0.40007019,0.275260925,0.373901367,0.380661011,0.223739624,0.113449097,0.220359802,0.302839279,0.180835724,0.180835724,0.277851105,0.277851105
152b,NA,NA,0.257270813,0.597229004,0.257270813,0.319610596,0.605010986,0.449401855,0.261039734,0.088821411,0.338844299,0.586780548,0.226413727,0.226413727,0.288440704,0.288440704
143b,NA,NA,NA,0.295303345,0.326080322,0.25743103,0.219238281,0.355804443,0.2081604,0.139373779,0.139877319,0.198574066,0.147773743,0.147773743,0.291755676,0.291755676
149b,NA,NA,NA,NA,0.295303345,0.361694336,0.451477051,0.524414063,0.298324585,0.090118408,0.261856079,0.429542542,0.223365784,0.223365784,0.32849884,0.32849884
b1b,NA,NA,NA,NA,NA,0.25743103,0.219238281,0.355804443,0.2081604,0.139373779,0.139877319,0.198574066,0.147773743,0.147773743,0.291755676,0.291755676
b2b,NA,NA,NA,NA,NA,NA,0.277526855,0.430297852,0.249038696,0.104095459,0.172653198,0.246131897,0.193534851,0.193534851,0.335716248,0.335716248
b3b,NA,NA,NA,NA,NA,NA,NA,0.374389648,0.223754883,0.087524414,0.41583252,0.510421753,0.22946167,0.22946167,0.248382568,0.248382568
139b,NA,NA,NA,NA,NA,NA,NA,NA,0.357330322,0.092712402,0.222869873,0.336135864,0.232833862,0.232833862,0.393051147,0.393051147
147b,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073699951,0.278411865,0.2697258,0.17376709,0.17376709,0.228599548,0.228599548
148b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071105957,0.079963684,0.071929932,0.071929932,0.121734619,0.121734619
150b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.475322723,0.172080994,0.172080994,0.156265259,0.156265259
153b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19924736,0.19924736,0.222352982,0.222352982
c3b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354537964,0.170654297,0.170654297
c1b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170654297,0.170654297
t1bb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433486938
t2bb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA