,8332,143m,148m,149m,151m,152m,153m,b1m,b2m,b3m
8285,0.220214844,0.635498047,0.141601563,0.590820313,0.34979248,0.528564453,0.264282227,0.635498047,0.180664063,0.466308594
143f,0.072509766,0.06829834,0.060546875,0.064086914,0.296356201,0.064086914,0.032043457,0.06829834,0.100830078,0.064086914
148f,0.021972656,0.027709961,0.0546875,0.033447266,0.169616699,0.033447266,0.016723633,0.027709961,0.080566406,0.033447266
149f,0.651123047,0.643310547,0.157714844,0.405517578,0.355804443,0.374389648,0.187194824,0.643310547,0.217285156,0.343261719
151f,0.220214844,0.405517578,0.141601563,0.590820313,0.234802246,0.528564453,0.264282227,0.405517578,0.180664063,0.466308594
152f,0.435668945,0.524414063,0.149658203,0.728149414,0.295303345,0.451477051,0.225738525,0.524414063,0.198974609,0.404785156
153f,0.327941895,0.449401855,0.145629883,0.628356934,0.257270813,0.842315674,0.302505493,0.449401855,0.189819336,0.581665039
b1f,0.072509766,0.06829834,0.060546875,0.064086914,0.541473389,0.064086914,0.032043457,0.06829834,0.100830078,0.064086914
b2f,0.651123047,0.643310547,0.157714844,0.405517578,0.355804443,0.374389648,0.187194824,0.643310547,0.217285156,0.343261719
b3f,0.220214844,0.405517578,0.141601563,0.590820313,0.234802246,0.758544922,0.379272461,0.405517578,0.180664063,0.466308594