Animal,Mating,Gender,Father Id,Mother Id
baby2,149,male,149m,149f
baby1,b1,female,b1m,b1f
b1f,141,female,8531,8491
b1m,139,male,8332,8285
149m,106,male,6316,6342
149f,139,female,8332,8285
147f,139,female,8332,8285
143m,139,male,8332,8285
8332,135,male,7858,7888
7858,115,male,6256,6318
7888,128,female,7500,7471
6256,77,male,1524,1341
7500,104,male,6308,6317
6318,95,female,3382,3301
7471,100,female,3415,3316
1524,20,male,67,69
3382,76,male,1525,1349
3415,71,male,1431,1407
6308,77,male,1524,1341
1341,8,female,21,19
3301,48,female,1361,837
3316,75,female,1497,1161
6317,95,female,3382,3301
21,N/A,male,,
67,N/A,male,,
1361,14,male,43,45
1431,26,male,179,169
1497,10,male,27,29
1524,20,male,67,69
1525,20,male,67,69
3382,76,male,1525,1349
19,N/A,female,,
69,N/A,female,,
837,15,female,49,47
1161,20,female,67,69
1341,8,female,21,19
1349,13,female,41,39
1407,16,female,51,53
3301,48,female,1361,837
21,N/A,male,,
27,N/A,male,,
41,N/A,male,,
43,N/A,male,,
49,N/A,male,,
51,N/A,male,,
67,N/A,male,,
179,N/A,male,,
1361,14,male,43,45
1525,20,male,67,69
19,N/A,female,,
29,N/A,female,,
39,N/A,female,,
45,N/A,female,,
47,N/A,female,,
53,N/A,female,,
69,N/A,female,,
169,N/A,female,,
837,15,female,49,47
1349,13,female,41,39
41,N/A,male,,
43,N/A,male,,
49,N/A,male,,
67,N/A,male,,
39,N/A,female,,
45,N/A,female,,
47,N/A,female,,
69,N/A,female,,
8285,106,female,6316,6342
6316,95,male,3382,3301
6342,83,female,1515,1420
1515,25,male,177,167
3382,76,male,1525,1349
1420,12,female,35,37
3301,48,female,1361,837
35,N/A,male,,
177,N/A,male,,
1361,14,male,43,45
1525,20,male,67,69
37,N/A,female,,
167,N/A,female,,
837,15,female,49,47
1349,13,female,41,39
41,N/A,male,,
43,N/A,male,,
49,N/A,male,,
67,N/A,male,,
39,N/A,female,,
45,N/A,female,,
47,N/A,female,,
69,N/A,female,,
143f,141,female,8531,8491
8531,,male,7859,7695
8491,,female,6255,6304
7859,111,male,6237,6312
7695,124,female,6590,6595
6237,71,male,1431,1407
6590,103,male,6294,6350
6312,97,female,3419,3253
6595,99,female,3405,3254
1431,26,male,179,169
3405,81,male,1399,1419
3419,82,male,1427,1408
6294,63,male,1415,1368
1407,16,female,51,53
3253,63,female,1415,1368
3254,63,female,1415,1368
6350,99,female,3405,3254
51,N/A,male,,
179,N/A,male,,
1399,15,male,49,47
1415,23,male,173,163
1427,18,male,59,61
3405,81,male,1399,1419
53,N/A,female,,
169,N/A,female,,
1368,25,female,177,167
1408,16,female,51,53
1419,12,female,35,37
3254,63,female,1415,1368
35,N/A,male,,
49,N/A,male,,
51,N/A,male,,
59,N/A,male,,
173,N/A,male,,
177,N/A,male,,
1399,15,male,49,47
1415,23,male,173,163
37,N/A,female,,
47,N/A,female,,
53,N/A,female,,
61,N/A,female,,
163,N/A,female,,
167,N/A,female,,
1368,25,female,177,167
1419,12,female,35,37
35,N/A,male,,
49,N/A,male,,
173,N/A,male,,
177,N/A,male,,
37,N/A,female,,
47,N/A,female,,
163,N/A,female,,
167,N/A,female,,
6255,77,male,1524,1341
6304,96,female,3067,3325
1524,20,male,67,69
3067,84,male,1547,1308
1341,8,female,21,19
3325,64,female,1404,1363
21,N/A,male,,
67,N/A,male,,
1404,16,male,51,53
1547,23,male,173,163
19,N/A,female,,
69,N/A,female,,
1308,18,female,59,61
1363,14,female,43,45
43,N/A,male,,
51,N/A,male,,
59,N/A,male,,
173,N/A,male,,
45,N/A,female,,
53,N/A,female,,
61,N/A,female,,
163,N/A,female,,