,animal,sire,dam
25,51,NA,NA
26,179,NA,NA
27,53,NA,NA
28,169,NA,NA
31,27,NA,NA
32,67,NA,NA
33,29,NA,NA
34,69,NA,NA
37,59,NA,NA
38,61,NA,NA
47,41,NA,NA
48,39,NA,NA
58,1899,NA,NA
67,171,NA,NA
68,161,NA,NA
71,175,NA,NA
72,177,NA,NA
73,165,NA,NA
74,167,NA,NA
79,21,NA,NA
80,19,NA,NA
146,43,NA,NA
147,49,NA,NA
148,45,NA,NA
149,47,NA,NA
170,173,NA,NA
171,163,NA,NA
225,35,NA,NA
226,37,NA,NA
235,CU13m,NA,NA
236,IL01f,NA,NA
238,IL09m,NA,NA
239,IL05f,NA,NA
241,IL08m,NA,NA
243,CU12m,NA,NA
244,IL07f,NA,NA
246,wild16-4m,NA,NA
249,IL03m,NA,NA
250,IL09f,NA,NA
252,2146wildf,NA,NA
254,IL14f,NA,NA
256,IL14m,NA,NA
258,IL01m,NA,NA
259,IL06f,NA,NA
261,2195wildm,NA,NA
262,2143wildf,NA,NA
264,IL05m,NA,NA
366,224,NA,NA
367,231,NA,NA
368,250,NA,NA
369,289,NA,NA
370,562,NA,NA
371,617,NA,NA
372,711,NA,NA
373,901,NA,NA
374,929,NA,NA
375,947,NA,NA
376,982,NA,NA
377,1002,NA,NA
378,1107,NA,NA
379,2556,NA,NA
380,2559,NA,NA
381,2600,NA,NA
23,1431,179,169
24,1407,51,53
29,1497,27,29
30,1161,67,69
39,1307,59,61
40,1417,35,37
49,1523,67,69
50,1350,41,39
52,2179,171,161
57,1848,179,169
61,849,59,61
62,1567,41,39
65,1823,51,53
66,812,171,161
69,1373,177,167
70,832,175,165
77,1524,67,69
78,1341,21,19
142,1361,43,45
143,1525,67,69
144,837,49,47
145,1349,41,39
166,1415,173,163
167,1427,59,61
168,1368,177,167
169,1408,51,53
211,1404,51,53
212,1547,173,163
213,1308,59,61
214,1363,43,45
223,1399,49,47
224,1419,35,37
234,O150,CU13m,IL01f
237,O128,IL09m,IL05f
240,O149,IL08m,IL05f
242,O129,CU12m,IL07f
245,O127,wild16-4m,IL05f
247,O122,IL08m,IL07f
248,O125,IL03m,IL09f
251,O131,CU13m,2146wildf
253,O130,IL08m,IL14f
255,O148,IL14m,IL07f
257,O147,IL01m,IL06f
260,O146,2195wildm,2143wildf
263,O123,IL05m,IL01f
265,O124,IL05m,IL01f
17,18m,1524,1341
21,2427,1373,832
22,2251,1848,1899
35,3316,1497,1161
36,3415,1431,1407
41,20m,1417,1307
43,11m,1525,1349
46,10f,1431,1407
51,2344,1848,1899
53,9f,1523,1350
59,2345,1848,1899
60,2391,1373,832
63,2702,849,1567
64,2726,1431,1407
75,2390,1373,832
76,2376,1823,812
103,17m,1524,1341
138,6243,1373,832
140,3382,1525,1349
141,3301,1361,837
152,6308,1524,1341
162,6237,1431,1407
164,3419,1427,1408
165,3253,1415,1368
172,6256,1524,1341
191,6252,1525,1349
195,6244,1373,832
196,6293,1415,1368
207,6255,1524,1341
209,3067,1547,1308
210,3325,1404,1363
219,3405,1399,1419
220,6294,1415,1368
221,3254,1415,1368
18,18f,2427,2251
42,20f,3415,3316
44,11f,2376,2390
45,10m,2702,2726
54,9m,2344,2179
104,17f,2376,2390
105,13m,2702,2726
106,13f,2345,2391
118,31m,2345,2391
135,7470,3415,3316
137,6624,3415,3316
139,6317,3382,3301
163,6312,3419,3253
173,6318,3382,3301
192,6319,3382,3301
193,6619,6244,6293
194,6626,3415,3316
208,6304,3067,3325
218,6595,3405,3254
222,6350,3405,3254
231,7471,3415,3316
13,32m,11m,11f
14,32f,9m,9f
19,14nf,18m,18f
20,14nm,17m,17f
55,10nf,10m,10f
56,10nm,9m,9f
107,24m,13m,13f
108,24f,18m,18f
109,27m,11m,11f
110,27f,17m,17f
113,30m,17m,17f
114,30f,13m,13f
117,31f,20m,20f
136,6616,6243,6317
151,7896,6308,6317
158,7692,6256,6318
160,6653,6308,6317
161,6613,6237,6312
187,7684,6619,6626
189,6609,6256,6318
190,6605,6252,6319
205,8491,6255,6304
215,7859,6237,6312
217,6590,6294,6350
228,7858,6256,6318
230,7500,6308,6317
8,h3f,14nm,14nf
15,23nm,32m,32f
111,20nm,10nm,10nf
112,20nf,27m,27f
115,16nm,24m,24f
116,16nf,27m,27f
120,16nnf,30m,30f
122,21nm,31m,31f
134,7464,6616,6624
159,7621,6653,6613
188,7631,6609,6605
216,7695,6590,6595
229,7888,7500,7471
10,c5f,7858,7888
16,23nf,20nm,20nf
87,t2af,7692,7621
119,16nnm,20nm,20nf
121,21nf,16nm,16nf
150,7862,7464,7470
156,b2m,7692,7621
184,148f,7859,7695
185,148m,7684,7631
206,8531,7859,7695
227,8332,7858,7888
233,136m,7464,7470
7,h3m,23nm,23nf
9,c5m,7862,7896
85,t1af,8531,8491
123,h2f,16nnm,16nnf
124,h2m,21nm,21nf
133,151f,136m,7896
154,b3f,136m,7896
155,b3m,7862,7896
178,b1f,8531,8491
181,148b1,148m,148f
182,148b2,148m,148f
183,148b,148m,148f
201,149m,136m,7896
204,143f,8531,8491
232,8285,136m,7896
5,c3m,h3m,h3f
6,c3f,c5m,c5f
11,c1m,h3m,h3f
12,c1f,c5m,c5f
84,t1am,8332,8285
86,t2am,8332,8285
91,b3b2,b3m,b3f
99,150f,b3m,b3f
100,150m,h2m,h2f
125,147m,h2m,h2f
126,147f,8332,8285
129,152m,b3m,b3f
153,b3b,b3m,b3f
174,b2f,8332,8285
179,b1m,8332,8285
197,139b,8332,8285
198,139b3,8332,8285
199,139b2,8332,8285
202,149f,8332,8285
203,143m,8332,8285
268,200b,148b1,O124
279,211b,148b2,O146
300,18,148b2,O146
310,17,148b2,O146
317,55,148b2,O146
320,74,148b1,O124
338,69k,148b2,O146
343,42,148b1,O124
347,58,148b2,O146
363,97,148b2,O146
1,c1b,c1m,c1f
2,c1b2,c1m,c1f
3,c3b,c3m,c3f
4,c3b2,c3m,c3f
82,t2bm,t1am,t1af
83,t2bf,t2am,t2af
89,t1bm,t1am,t1af
90,t1bf,t2am,t2af
93,153m,150m,150f
95,150b1,150m,150f
96,150b2,150m,150f
97,150b3,150m,150f
98,150b4,150m,150f
101,147b,147m,147f
102,147b2,147m,147f
128,152f,149m,149f
132,151m,b1m,b1f
157,b2b,b2m,b2f
175,b1b3,b1m,b1f
176,b1b2,b1m,b1f
177,b1b1,b1m,b1f
180,143b,143m,143f
200,149b,149m,149f
276,208b,O127,139b
282,214b,139b2,211b
81,t2bb,t2bm,t2bf
88,t1bb,t1bm,t1bf
92,153f,152m,152f
127,152b,152m,152f
130,151b,151m,151f
131,151b2,151m,151f
267,156b,150b4,c1b2
269,201b,O125,147b
270,202b,b1b1,O147
271,203b,O149,150b1
272,204b,143b,O130
273,205b,c1b,O123
274,206b,O150,c3b
275,207b,O128,b2b
280,212b,b1b2,O148
281,213b,O129,150b2
287,12,O125,147b
288,8,O129,150b2
289,10,O125,147b
291,1,b1b2,O148
292,61k,c1b,O123
293,212ak,b1b2,O148
295,25,O128,b2b
296,24,O128,b2b
297,19k,O150,c3b
298,22,O128,b2b
301,6,O129,150b2
302,31,O125,147b
303,3,c1b,O123
304,4,c1b,O123
305,37k,O129,150b2
306,62,b1b1,O147
307,41k,O149,150b1
308,43k,O150,c3b
309,7,O129,150b2
311,5,c1b,O123
312,36,O129,150b2
313,25k,O128,b2b
315,32,O125,147b
318,64,O128,b2b
321,24k,O128,b2b
322,9,O125,147b
324,44,O150,c3b
325,23,b1b1,O147
326,11,O125,147b
327,40,O149,150b1
328,212bk,b1b2,O148
329,47k,O150,c3b
331,34,O129,150b2
333,67k,O128,b2b
334,46,O150,c3b
335,66,O128,b2b
336,45k,O150,c3b
337,59k,c1b,O123
339,35k,O129,150b2
340,60,c1b,O123
344,38,O149,150b1
345,65,O128,b2b
348,30,O125,147b
349,39k,O149,150b1
350,71,O129,150b2
351,76,O125,147b
352,75,O125,147b
353,82,O149,150b1
354,70,O129,150b2
355,94,O150,c3b
356,72,O129,150b2
357,79,O125,147b
358,104,O128,b2b
360,84,O149,150b1
362,77,O125,147b
364,78,O125,147b
365,83,O149,150b1
94,153b,153m,153f
186,155b,t1bb,148b
266,154b,147b2,151b
277,209b,O122,151b
283,216b,205b,150b3
284,215b,212b,c3b2
285,217b,b1b3,213b
286,15,O122,151b
294,16,O122,151b
299,54,O122,151b
314,14,O122,151b
316,53k,O122,151b
323,13,O122,151b
330,48,O122,151b
332,51k,O122,151b
341,50,O122,151b
342,52,O122,151b
346,49k,O122,151b
361,89,O122,151b
278,210b,153b,O131
290,2,153b,O131
319,68,153b,O131
359,105,153b,O131